"","prev_surp","y_lower","y_upper","y","delta","lang","model","linear"
"1018",1.2,-2.49777557356042,2.08839064644586,0.0945045274844478,5.16637510809743,"he","mgpt_lc","non-linear"
"1019",1.3,-2.43877546764431,2.09225023915022,0.125293987880118,5.16637510809743,"he","mgpt_lc","non-linear"
"1020",1.4,-2.37378606246108,2.10101459018727,0.161582828221063,5.16637510809743,"he","mgpt_lc","non-linear"
"1021",1.5,-2.30234664268249,2.11506098865952,0.203794077733835,5.16637510809743,"he","mgpt_lc","non-linear"
"1022",1.6,-2.22399649298029,2.18340805259709,0.252350765645001,5.16637510809743,"he","mgpt_lc","non-linear"
"1023",1.7,-2.13827489802624,2.36516749104187,0.307675921181118,5.16637510809743,"he","mgpt_lc","non-linear"
"1024",1.8,-2.04472114249211,2.54681036813926,0.370192573568742,5.16637510809743,"he","mgpt_lc","non-linear"
"1025",1.9,-1.94287451104965,2.7283298273394,0.440323752034436,5.16637510809743,"he","mgpt_lc","non-linear"
"1026",2,-1.83227428837063,2.90971901209246,0.518492485804757,5.16637510809743,"he","mgpt_lc","non-linear"
"1027",2.1,-1.7124597591268,3.09097106584859,0.605121804106268,5.16637510809743,"he","mgpt_lc","non-linear"
"1028",2.2,-1.58297020798992,3.27207913205793,0.700634736165526,5.16637510809743,"he","mgpt_lc","non-linear"
"1029",2.3,-1.45307779609275,3.45303635417064,0.805454311209089,5.16637510809743,"he","mgpt_lc","non-linear"
"1030",2.4,-1.31455084461609,3.63383587563689,0.92000355846352,5.16637510809743,"he","mgpt_lc","non-linear"
"1031",2.5,-1.16352853715365,3.81447083990681,1.04470550715538,5.16637510809743,"he","mgpt_lc","non-linear"
"1032",2.6,-0.999490233872682,3.99493439043056,1.17998318651121,5.16637510809743,"he","mgpt_lc","non-linear"
"1033",2.7,-0.829193466208936,4.1752196706583,1.3262596257576,5.16637510809743,"he","mgpt_lc","non-linear"
"1034",2.8,-0.646788425062556,4.35531982404018,1.48395785412109,5.16637510809743,"he","mgpt_lc","non-linear"
"1035",2.9,-0.450601344092047,4.53522799402635,1.65350090082824,5.16637510809743,"he","mgpt_lc","non-linear"
"1036",3,-0.240140007589408,4.71493732406697,1.83531179510561,5.16637510809743,"he","mgpt_lc","non-linear"
"1037",3.1,-0.0263163132928028,4.89442682913098,2.02964515099608,5.16637510809743,"he","mgpt_lc","non-linear"
"1038",3.2,0.196355104654411,5.07359445685929,2.23578923883296,5.16637510809743,"he","mgpt_lc","non-linear"
"1039",3.3,0.437923929577671,5.25230929419566,2.45268830190619,5.16637510809743,"he","mgpt_lc","non-linear"
"1040",3.4,0.696824092035308,5.43044039297932,2.67928616505117,5.16637510809743,"he","mgpt_lc","non-linear"
"1041",3.5,0.971489522585645,5.60785680504955,2.91452665310329,5.16637510809743,"he","mgpt_lc","non-linear"
"1042",3.6,1.26035415178701,5.7844275822456,3.15735359089796,5.16637510809743,"he","mgpt_lc","non-linear"
"1043",3.7,1.56185191019774,5.96002177640672,3.40671080327059,5.16637510809743,"he","mgpt_lc","non-linear"
"1044",3.8,1.87441672837614,6.13450843937218,3.66154211505657,5.16637510809743,"he","mgpt_lc","non-linear"
"1045",3.9,2.18451094433338,6.30775662298124,3.92079135109131,5.16637510809743,"he","mgpt_lc","non-linear"
"1046",4,2.49195026751824,6.47963537907314,4.18340233621021,5.16637510809743,"he","mgpt_lc","non-linear"
"1047",4.1,2.80273701193596,6.65001375948716,4.44831889524867,5.16637510809743,"he","mgpt_lc","non-linear"
"1048",4.2,3.11570954444035,6.81876081606254,4.71448485304209,5.16637510809743,"he","mgpt_lc","non-linear"
"1049",4.3,3.42970623188522,6.98574560063856,4.98084403442588,5.16637510809743,"he","mgpt_lc","non-linear"
"1050",4.4,3.71204680655349,7.16695408963035,5.24634026423543,5.16637510809743,"he","mgpt_lc","non-linear"
"1051",4.5,3.93696555279983,7.36093027330658,5.50991736730616,5.16637510809743,"he","mgpt_lc","non-linear"
"1052",4.6,4.08670286759051,7.55237447395547,5.77051916847345,5.16637510809743,"he","mgpt_lc","non-linear"
"1053",4.7,4.23490308764978,7.74093811622731,6.02708949257272,5.16637510809743,"he","mgpt_lc","non-linear"
"1054",4.8,4.38130753816525,7.92627262477238,6.27857216443936,5.16637510809743,"he","mgpt_lc","non-linear"
"1055",4.9,4.52565754432458,8.10802942424097,6.52391100890878,5.16637510809743,"he","mgpt_lc","non-linear"
"1056",5,4.66769443131541,8.28585993928336,6.76204985081638,5.16637510809743,"he","mgpt_lc","non-linear"
"1057",5.1,4.80715952432538,8.45941559454984,6.99193251499756,5.16637510809743,"he","mgpt_lc","non-linear"
