"","surp","y_lower","y_upper","y","delta","lang","context","linear"
"788",18.4,36.8314492852563,45.0624444596998,40.5681647874184,16.2906511356002,"ge","short","non-linear"
"789",18.5,37.1458752137203,45.6203152043547,41.0237297236318,16.2906511356002,"ge","short","non-linear"
"790",18.6,37.4628022696743,46.1838725739969,41.4839313928331,16.2906511356002,"ge","short","non-linear"
"791",18.7,37.7822147174818,46.7530807916968,41.9487406234012,16.2906511356002,"ge","short","non-linear"
"792",18.8,38.1040968215067,47.3279040805247,42.418128243715,16.2906511356002,"ge","short","non-linear"
"793",18.9,38.4284328461128,47.9180131490935,42.8920650821532,16.2906511356002,"ge","short","non-linear"
"794",19,38.7552070556639,48.5393023034901,43.3705219670947,16.2906511356002,"ge","short","non-linear"
"795",19.1,39.0844037145237,49.1666408971136,43.8534697269184,16.2906511356002,"ge","short","non-linear"
"796",19.2,39.3835738326193,49.7999896342915,44.3408791900032,16.2906511356002,"ge","short","non-linear"
"797",19.3,39.6362380017362,50.4393092193509,44.8327211847278,16.2906511356002,"ge","short","non-linear"
"798",19.4,39.8901110333992,51.0845603566194,45.3289665394711,16.2906511356002,"ge","short","non-linear"
"799",19.5,40.1451849190692,51.7357037504243,45.829586082612,16.2906511356002,"ge","short","non-linear"
"800",19.6,40.4014516502074,52.3927001050928,46.3345506425293,16.2906511356002,"ge","short","non-linear"
"801",19.7,40.6589032182747,53.0555101249524,46.8438310476019,16.2906511356002,"ge","short","non-linear"
"802",19.8,40.9175316147323,53.7370563067132,47.3573981262086,16.2906511356002,"ge","short","non-linear"
"803",19.9,41.1773288310411,54.6287610580039,47.8752227067282,16.2906511356002,"ge","short","non-linear"
"804",20,41.4382868586623,55.5292567362234,48.3972756175396,16.2906511356002,"ge","short","non-linear"
"805",0,-5.35943970569997,4.34587330304264,0,21.1444027713728,"gr","short","non-linear"
"806",0.1,-5.04552228894821,4.58833006343158,0.26331682859584,21.1444027713728,"gr","short","non-linear"
"807",0.2,-4.7316048706364,4.83055678502393,0.526601286375858,21.1444027713728,"gr","short","non-linear"
"808",0.3,-4.41768744920446,5.0723234290231,0.78982100252421,21.1444027713728,"gr","short","non-linear"
"809",0.4,-4.10377002309234,5.31339995663248,1.05294360622507,21.1444027713728,"gr","short","non-linear"
"810",0.5,-3.78985259073996,5.55355632905549,1.31593672666261,21.1444027713728,"gr","short","non-linear"
"811",0.6,-3.47593515058727,5.79256250749554,1.578767993021,21.1444027713728,"gr","short","non-linear"
"812",0.7,-3.1620177010742,6.03018845315602,1.84140503448441,21.1444027713728,"gr","short","non-linear"
"813",0.8,-2.84810024064069,6.26620412724036,2.10381548023701,21.1444027713728,"gr","short","non-linear"
"814",0.9,-2.53418276772668,6.50037949095195,2.36596695946297,21.1444027713728,"gr","short","non-linear"
"815",1,-2.2202652807721,6.7324845054942,2.62782710134645,21.1444027713728,"gr","short","non-linear"
"816",1.1,-1.90634777821688,6.96228913207053,2.88936353507164,21.1444027713728,"gr","short","non-linear"
"817",1.2,-1.59243025850098,7.18956333188432,3.1505438898227,21.1444027713728,"gr","short","non-linear"
"818",1.3,-1.27851272006432,7.414077066139,3.41133579478379,21.1444027713728,"gr","short","non-linear"
"819",1.4,-0.964595161346843,7.63560029603797,3.67170687913909,21.1444027713728,"gr","short","non-linear"
"820",1.5,-0.650677580788482,7.85390298278464,3.93162477207277,21.1444027713728,"gr","short","non-linear"
"821",1.6,-0.336759976829178,8.06875508758241,4.191057102769,21.1444027713728,"gr","short","non-linear"
"822",1.7,-0.0228423479088704,8.27992657163468,4.44997150041194,21.1444027713728,"gr","short","non-linear"
"823",1.8,0.291075307532516,8.48718739614488,4.70833559418578,21.1444027713728,"gr","short","non-linear"
